//Exported ASCII-File
[Header]
FileName = xxx
GraphName = xxx
SizeX = 1
SizeY = 1
SizeGraph = 1465
PositionUnit = µm
PositionX = 1602.80000004657
PositionY = -929.099999953434
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	90deg (B+R)WT1 (Repaired)
rel. 1/cm	CCD cts
 1.96769E+03	 1.27054E+03
 1.97001E+03	 1.27124E+03
 1.97232E+03	 1.27126E+03
 1.97464E+03	 1.27182E+03
 1.97695E+03	 1.27058E+03
 1.97926E+03	 1.27198E+03
 1.98157E+03	 1.27116E+03
 1.98389E+03	 1.27294E+03
 1.98620E+03	 1.27282E+03
 1.98851E+03	 1.27274E+03
 1.99081E+03	 1.27230E+03
 1.99312E+03	 1.27200E+03
 1.99543E+03	 1.27238E+03
 1.99774E+03	 1.27230E+03
 2.00004E+03	 1.27212E+03
 2.00235E+03	 1.27122E+03
 2.00465E+03	 1.27220E+03
 2.00696E+03	 1.27332E+03
 2.00926E+03	 1.27224E+03
 2.01156E+03	 1.27270E+03
 2.01386E+03	 1.27322E+03
 2.01617E+03	 1.27448E+03
 2.01847E+03	 1.27316E+03
 2.02077E+03	 1.27358E+03
 2.02306E+03	 1.27494E+03
 2.02536E+03	 1.27394E+03
 2.02766E+03	 1.27210E+03
 2.02996E+03	 1.27456E+03
 2.03225E+03	 1.27278E+03
 2.03455E+03	 1.27620E+03
 2.03684E+03	 1.27426E+03
 2.03914E+03	 1.27318E+03
 2.04143E+03	 1.27380E+03
 2.04373E+03	 1.27430E+03
 2.04602E+03	 1.27480E+03
 2.04831E+03	 1.27386E+03
 2.05060E+03	 1.27398E+03
 2.05289E+03	 1.27266E+03
 2.05518E+03	 1.27446E+03
 2.05747E+03	 1.27434E+03
 2.05976E+03	 1.27408E+03
 2.06204E+03	 1.27660E+03
 2.06433E+03	 1.27510E+03
 2.06662E+03	 1.27672E+03
 2.06890E+03	 1.27334E+03
 2.07119E+03	 1.27524E+03
 2.07347E+03	 1.27510E+03
 2.07575E+03	 1.27454E+03
 2.07804E+03	 1.27574E+03
 2.08032E+03	 1.27616E+03
 2.08260E+03	 1.27508E+03
 2.08488E+03	 1.27474E+03
 2.08716E+03	 1.27598E+03
 2.08944E+03	 1.27446E+03
 2.09172E+03	 1.27620E+03
 2.09400E+03	 1.27598E+03
 2.09627E+03	 1.27452E+03
 2.09855E+03	 1.27658E+03
 2.10083E+03	 1.27616E+03
 2.10310E+03	 1.27680E+03
 2.10537E+03	 1.27542E+03
 2.10765E+03	 1.27686E+03
 2.10992E+03	 1.27512E+03
 2.11219E+03	 1.27452E+03
 2.11447E+03	 1.27500E+03
 2.11674E+03	 1.27602E+03
